FECHA_INGRESO,edo,RESULTADO
2020-03-15,CIUDAD DE MÉXICO,10
2020-03-15,GUANAJUATO,2
2020-03-15,HIDALGO,1
2020-03-15,JALISCO,2
2020-03-15,MÉXICO,10
2020-03-15,PUEBLA,3
2020-03-15,SONORA,1
2020-03-15,TAMAULIPAS,1
2020-03-15,VERACRUZ DE IGNACIO DE LA LLAVE,2
2020-03-15,YUCATÁN,4
2020-03-16,BAJA CALIFORNIA,1
2020-03-16,CIUDAD DE MÉXICO,26
2020-03-16,COAHUILA DE ZARAGOZA,1
2020-03-16,COLIMA,1
2020-03-16,GUANAJUATO,2
2020-03-16,GUERRERO,2
2020-03-16,JALISCO,12
2020-03-16,MÉXICO,6
2020-03-16,NUEVO LEÓN,6
2020-03-16,PUEBLA,2
2020-03-16,QUINTANA ROO,3
2020-03-16,SAN LUIS POTOSÍ,1
2020-03-16,SINALOA,1
2020-03-16,TAMAULIPAS,1
2020-03-16,YUCATÁN,2
2020-03-16,ZACATECAS,1
2020-03-17,AGUASCALIENTES,1
2020-03-17,BAJA CALIFORNIA,3
2020-03-17,CIUDAD DE MÉXICO,34
2020-03-17,COAHUILA DE ZARAGOZA,2
2020-03-17,DURANGO,1
2020-03-17,GUERRERO,5
2020-03-17,HIDALGO,2
2020-03-17,JALISCO,6
2020-03-17,MORELOS,1
2020-03-17,MÉXICO,7
2020-03-17,NUEVO LEÓN,6
2020-03-17,PUEBLA,5
2020-03-17,QUERÉTARO,2
2020-03-17,QUINTANA ROO,4
2020-03-17,SAN LUIS POTOSÍ,5
2020-03-17,SINALOA,1
2020-03-17,SONORA,1
2020-03-17,TABASCO,1
2020-03-17,YUCATÁN,6
2020-03-18,AGUASCALIENTES,3
2020-03-18,BAJA CALIFORNIA,4
2020-03-18,BAJA CALIFORNIA SUR,1
2020-03-18,CHIAPAS,1
2020-03-18,CHIHUAHUA,1
2020-03-18,CIUDAD DE MÉXICO,31
2020-03-18,COAHUILA DE ZARAGOZA,2
2020-03-18,DURANGO,1
2020-03-18,GUANAJUATO,1
2020-03-18,GUERRERO,1
2020-03-18,JALISCO,17
2020-03-18,MICHOACÁN DE OCAMPO,1
2020-03-18,MORELOS,1
2020-03-18,MÉXICO,6
2020-03-18,NAYARIT,1
2020-03-18,NUEVO LEÓN,9
2020-03-18,PUEBLA,6
2020-03-18,QUERÉTARO,2
2020-03-18,QUINTANA ROO,2
2020-03-18,SAN LUIS POTOSÍ,1
2020-03-18,TABASCO,3
2020-03-18,VERACRUZ DE IGNACIO DE LA LLAVE,7
2020-03-19,AGUASCALIENTES,1
2020-03-19,BAJA CALIFORNIA,5
2020-03-19,CHIHUAHUA,1
2020-03-19,CIUDAD DE MÉXICO,39
2020-03-19,COAHUILA DE ZARAGOZA,3
2020-03-19,GUANAJUATO,1
2020-03-19,JALISCO,10
2020-03-19,MICHOACÁN DE OCAMPO,1
2020-03-19,MÉXICO,13
2020-03-19,NAYARIT,1
2020-03-19,NUEVO LEÓN,4
2020-03-19,OAXACA,1
2020-03-19,PUEBLA,7
2020-03-19,QUERÉTARO,3
2020-03-19,QUINTANA ROO,5
2020-03-19,SAN LUIS POTOSÍ,3
2020-03-19,SINALOA,2
2020-03-19,TABASCO,2
2020-03-19,TAMAULIPAS,1
2020-03-19,VERACRUZ DE IGNACIO DE LA LLAVE,5
2020-03-19,YUCATÁN,2
2020-03-20,AGUASCALIENTES,2
2020-03-20,BAJA CALIFORNIA,6
2020-03-20,BAJA CALIFORNIA SUR,1
2020-03-20,CHIHUAHUA,3
2020-03-20,CIUDAD DE MÉXICO,24
